"data","faturamento","qtd_vendas","ticket_medio"
"2024-01-01","257431.67","38","6774.52"
"2023-05-02","248711.44","36","6908.65"
"2024-05-04","314260.74","39","8057.97"
"2023-02-22","301281.93","36","8368.94"
"2019-06-18","189802.11","28","6778.65"
"2018-07-01","162501.81","27","6018.59"
"2024-06-26","323036.83","38","8500.97"
"2022-12-31","229130.36","34","6739.13"
"2024-03-29","281306.75","38","7402.81"
"2016-04-27","113130.00","35","3232.29"
"2023-11-25","466286.06","36","12952.39"
"2025-09-12","319407.82","41","7790.43"
"2020-05-28","193991.28","30","6466.38"
"2020-01-09","221970.93","30","7399.03"
"2024-06-19","303943.33","38","7998.51"
"2017-03-17","119504.00","34","3514.82"
"2025-07-22","271492.98","41","6621.78"
"2021-11-08","173697.73","31","5603.15"
"2020-06-23","160190.15","30","5339.67"
"2022-10-06","259351.77","34","7627.99"
"2019-02-05","205462.19","29","7084.90"
"2022-05-17","233983.72","34","6881.87"
"2018-12-13","164112.42","26","6312.02"
"2017-01-19","72113.00","30","2403.77"
"2020-04-26","160828.28","30","5360.94"
"2018-01-01","167393.87","26","6438.23"
"2024-10-02","334999.90","38","8815.79"
"2022-06-27","210820.53","33","6388.50"
"2020-09-17","180876.82","30","6029.23"
"2016-12-10","88883.00","26","3418.58"
"2015-11-08","56093.00","32","1752.91"
"2023-03-15","298838.24","36","8301.06"
"2018-02-07","147592.28","27","5466.38"
"2024-01-27","325390.27","38","8562.90"
"2021-01-22","237354.06","32","7417.31"
"2020-08-28","201070.40","30","6702.35"
"2025-02-15","356070.29","41","8684.64"
"2017-08-26","35412.00","22","1609.64"
"2021-08-16","229312.09","31","7397.16"
"2017-05-10","117223.00","26","4508.58"
"2015-01-26","83425.00","18","4634.72"
"2016-08-14","95813.00","29","3303.90"
"2023-11-16","218873.63","36","6079.82"
"2018-02-11","180859.75","26","6956.14"
"2016-05-27","54439.00","22","2474.50"
"2022-01-09","266712.60","33","8082.20"
"2019-12-01","221163.15","29","7626.32"
"2022-11-11","261514.82","34","7691.61"
"2016-07-03","131504.00","29","4534.62"
"2017-01-24","77252.00","26","2971.23"
"2021-05-08","154429.13","32","4825.91"
"2025-03-12","245041.86","41","5976.63"
"2025-01-11","272684.23","41","6650.83"
"2018-06-01","168917.43","26","6496.82"
"2018-03-15","228619.56","27","8467.39"
"2016-02-24","121660.00","39","3119.49"
"2024-12-10","344483.17","38","9065.35"
"2023-03-27","238607.60","36","6627.99"
"2018-05-27","215345.24","26","8282.51"
"2017-02-09","121692.00","29","4196.28"
"2022-08-17","299946.68","33","9089.29"
"2024-11-13","300289.09","38","7902.34"
"2023-06-17","229204.84","35","6548.71"
"2019-03-12","162075.38","29","5588.81"
"2015-05-09","97629.00","21","4649.00"
"2022-11-13","311377.02","34","9158.15"
"2019-03-25","283707.05","29","9783.00"
"2020-07-01","263934.24","31","8514.01"
"2023-09-20","256557.75","35","7330.22"
"2020-04-04","195366.27","30","6512.21"
"2016-11-03","105417.00","21","5019.86"
"2024-02-23","262688.52","39","6735.60"
"2023-09-18","279349.65","35","7981.42"
"2023-02-24","214611.88","35","6131.77"
"2019-06-14","233250.90","29","8043.13"
"2015-11-19","108086.00","18","6004.78"
"2025-08-14","318000.38","40","7950.01"
"2024-02-19","318545.12","38","8382.77"
"2018-01-27","208309.63","27","7715.17"
"2015-05-15","118067.00","32","3689.59"
"2020-11-04","194685.78","30","6489.53"
"2019-06-12","184539.16","29","6363.42"
"2018-03-19","161129.59","26","6197.29"
"2019-12-18","228344.37","29","7873.94"
"2017-10-21","78609.00","29","2710.66"
"2023-04-15","261259.87","36","7257.22"
"2023-06-03","303199.75","36","8422.22"
"2018-09-27","138863.18","27","5143.08"
"2023-07-19","259680.24","36","7213.34"
"2025-08-01","227414.60","40","5685.37"
"2025-08-17","285601.72","40","7140.04"
"2017-07-05","117999.00","19","6210.47"
"2021-11-14","206754.75","32","6461.09"
"2015-04-04","86226.00","27","3193.56"
"2025-12-15","279366.56","40","6984.16"
"2018-06-18","188750.67","26","7259.64"
"2022-07-22","256767.60","33","7780.84"
"2024-02-07","246877.52","38","6496.78"
"2016-01-20","64243.00","26","2470.88"
"2025-11-13","245071.83","35","7002.05"
"2020-01-12","270654.18","30","9021.81"
"2017-01-27","124762.00","36","3465.61"
"2023-03-10","269808.90","36","7494.69"
"2017-03-01","69660.00","23","3028.70"
"2024-11-30","239274.80","38","6296.71"
"2023-06-01","376127.38","35","10746.50"
"2021-03-10","257281.85","32","8040.06"
"2016-10-19","51572.00","24","2148.83"
"2018-04-21","107517.78","26","4135.30"
"2015-02-27","74712.00","21","3557.71"
"2023-10-18","334438.40","36","9289.96"
"2025-04-23","286786.28","41","6994.79"
"2024-07-29","257265.24","38","6770.14"
"2020-07-15","203966.21","30","6798.87"
"2019-07-02","149745.85","29","5163.65"
"2021-01-25","205441.61","31","6627.15"
"2024-03-07","348781.68","38","9178.47"
"2019-10-23","224110.46","29","7727.95"
"2021-07-01","250724.84","31","8087.90"
"2025-11-29","416784.52","47","8867.76"
"2017-09-15","60665.00","28","2166.61"
"2020-12-31","245975.05","30","8199.17"
"2017-09-11","81911.00","35","2340.31"
"2024-02-09","308832.48","38","8127.17"
"2025-07-02","217637.73","41","5308.24"
"2018-01-23","163285.61","26","6280.22"
"2022-12-18","304617.05","33","9230.82"
"2015-08-20","92391.00","21","4399.57"
"2023-02-07","239364.50","35","6838.99"
"2017-08-20","67299.00","25","2691.96"
"2023-12-11","279960.98","35","7998.89"
"2020-10-05","169512.51","30","5650.42"
"2022-06-17","211343.90","33","6404.36"
"2017-12-24","53180.00","25","2127.20"
"2018-01-10","198647.69","27","7357.32"
"2025-11-17","308093.14","40","7702.33"
"2019-09-17","247150.59","29","8522.43"
"2017-07-14","107257.00","30","3575.23"
"2024-09-05","331178.84","38","8715.23"
"2017-06-22","60372.00","21","2874.86"
"2020-03-26","193251.52","30","6441.72"
"2025-09-21","300179.47","41","7321.45"
"2017-07-08","81111.00","36","2253.08"
"2025-06-15","289257.84","41","7055.07"
"2016-07-08","51647.00","21","2459.38"
"2024-05-16","278126.19","38","7319.11"
"2017-03-22","78904.00","22","3586.55"
"2024-07-27","374208.48","39","9595.09"
"2025-02-26","304797.89","41","7434.09"
"2025-06-16","294123.94","41","7173.75"
"2025-01-23","362607.12","41","8844.08"
"2021-07-07","232521.24","31","7500.69"
"2021-01-10","234178.15","31","7554.13"
"2018-10-27","173823.10","26","6685.50"
"2019-10-29","217263.34","28","7759.41"
"2016-12-06","67418.00","20","3370.90"
"2020-01-31","229926.47","30","7664.22"
"2024-06-02","377417.54","39","9677.37"
"2021-04-15","156822.34","31","5058.79"
"2015-03-10","125597.00","19","6610.37"
"2021-12-19","204909.99","31","6610.00"
"2020-10-21","213970.72","30","7132.36"
"2017-07-18","133044.00","37","3595.78"
"2025-07-20","254334.84","41","6203.29"
"2025-12-06","403194.17","51","7905.77"
"2022-04-10","203953.37","33","6180.41"
"2022-07-04","309314.17","34","9097.48"
"2025-01-15","291731.18","40","7293.28"
"2024-12-12","377179.56","38","9925.78"
"2022-04-19","251376.59","34","7393.43"
"2020-01-19","209678.11","30","6989.27"
"2023-11-17","283945.50","36","7887.38"
"2016-07-15","114021.00","34","3353.56"
"2018-11-06","171437.33","27","6349.53"
"2018-02-23","204029.50","26","7847.29"
"2022-02-11","331257.66","33","10038.11"
"2018-11-18","232610.79","26","8946.57"
"2025-01-07","275631.19","41","6722.71"
"2018-05-12","144624.21","26","5562.47"
"2022-08-25","261263.61","34","7684.22"
"2019-02-08","170423.11","29","5876.66"
"2016-03-16","123501.00","25","4940.04"
"2018-03-12","220376.74","26","8476.03"
"2021-11-12","172601.65","31","5567.80"
"2018-03-25","185749.61","26","7144.22"
"2015-04-09","100979.00","30","3365.97"
"2021-02-21","226335.54","31","7301.15"
"2025-10-11","328698.12","40","8217.45"
"2023-10-25","269166.27","36","7476.84"
"2016-07-11","68915.00","21","3281.67"
"2020-09-08","215893.83","31","6964.32"
"2019-03-16","189688.58","28","6774.59"
"2022-08-05","336205.87","34","9888.41"
"2025-10-16","302882.76","41","7387.38"
"2017-03-11","79701.00","27","2951.89"
"2015-05-26","110695.00","30","3689.83"
"2016-01-03","163189.00","33","4945.12"
"2016-10-09","20901.00","15","1393.40"
"2025-11-04","370736.79","45","8238.60"
"2022-11-15","272853.75","34","8025.11"
"2019-11-11","131268.54","29","4526.50"
"2023-08-02","292096.37","35","8345.61"
"2017-06-06","121135.00","35","3461.00"
"2018-11-19","257160.17","27","9524.45"
"2022-09-26","187192.10","34","5505.65"
"2020-12-18","218893.43","30","7296.45"
"2017-10-06","84632.00","34","2489.18"
"2024-10-20","276964.42","39","7101.65"
"2023-10-07","249307.86","35","7123.08"
"2018-11-08","203778.70","26","7837.64"
"2021-12-08","225955.37","31","7288.88"
"2018-04-29","164401.58","27","6088.95"
"2019-05-01","169252.06","28","6044.72"
"2025-12-28","413293.18","53","7797.98"
"2018-02-04","235864.84","27","8735.73"
"2021-02-16","185435.14","32","5794.85"
"2024-02-06","241856.99","38","6364.66"
"2023-10-21","234623.15","35","6703.52"
"2024-05-01","254033.58","38","6685.09"
"2020-09-05","179956.09","30","5998.54"
"2019-08-28","206946.58","29","7136.09"
"2018-09-30","284141.81","27","10523.77"
"2022-11-26","193044.44","33","5849.83"
"2020-10-07","198730.48","30","6624.35"
"2022-03-10","255873.70","34","7525.70"
"2025-08-15","274292.68","41","6690.07"
"2024-06-11","289148.29","39","7414.06"
"2025-04-13","387567.96","41","9452.88"
"2023-10-08","266006.96","35","7600.20"
"2021-11-28","206216.95","31","6652.16"
"2018-02-22","184248.94","26","7086.50"
"2017-07-03","132876.00","28","4745.57"
"2022-08-10","228759.29","34","6728.21"
"2021-03-14","221738.09","32","6929.32"
"2017-09-26","75710.00","37","2046.22"
"2017-04-14","102585.00","22","4662.95"
"2024-05-31","344664.45","39","8837.55"
"2024-05-26","329604.87","39","8451.41"
"2021-11-07","199000.78","32","6218.77"
"2016-03-20","75197.00","17","4423.35"
"2024-09-12","286133.99","38","7529.84"
"2020-08-15","249845.01","30","8328.17"
"2015-08-09","39326.00","16","2457.88"
"2020-05-19","268487.18","30","8949.57"
"2022-07-05","240850.09","33","7298.49"
"2015-09-16","73532.00","29","2535.59"
"2022-01-07","213084.69","34","6267.20"
"2017-07-07","31842.00","18","1769.00"
"2023-03-18","242889.17","36","6746.92"
"2021-05-14","193987.70","31","6257.67"
"2017-05-26","127638.00","38","3358.89"
"2019-06-05","199325.46","29","6873.29"
"2021-10-24","289986.92","32","9062.09"
"2021-01-05","247838.24","32","7744.95"
"2015-04-07","89753.00","27","3324.19"
"2015-12-23","91337.00","30","3044.57"
"2024-12-28","254750.37","38","6703.96"
"2023-07-09","248513.78","35","7100.39"
"2020-12-09","292327.87","31","9429.93"
"2021-11-30","279410.62","32","8731.58"
"2015-09-05","59574.00","27","2206.44"
"2015-07-08","72857.00","23","3167.70"
"2020-11-16","268521.19","30","8950.71"
"2021-09-13","239370.01","31","7721.61"
"2022-03-12","253586.80","33","7684.45"
"2020-08-08","196621.28","30","6554.04"
"2017-05-22","79524.00","24","3313.50"
"2015-01-13","107419.00","26","4131.50"
"2020-09-10","125613.23","30","4187.11"
"2015-02-26","94813.00","27","3511.59"
"2023-12-25","287800.07","36","7994.45"
"2016-05-13","100389.00","32","3137.16"
"2019-05-25","225844.19","29","7787.73"
"2022-02-16","245011.62","33","7424.59"
"2018-04-19","164052.07","26","6309.70"
"2019-04-26","233440.98","28","8337.18"
"2024-01-20","351438.19","39","9011.24"
"2016-12-03","91380.00","21","4351.43"
"2024-06-18","280089.31","39","7181.78"
"2018-08-07","197279.87","27","7306.66"
"2018-11-07","276531.38","27","10241.90"
"2019-05-23","181253.43","29","6250.12"
"2025-04-24","276571.47","41","6745.65"
"2020-02-08","250401.52","31","8077.47"
"2024-12-04","243149.22","38","6398.66"
"2015-10-13","79482.00","26","3057.00"
"2023-01-10","229703.11","36","6380.64"
"2016-06-05","76964.00","31","2482.71"
"2015-03-15","18468.00","21","879.43"
"2016-05-25","98131.00","24","4088.79"
"2023-03-06","307315.48","36","8536.54"
"2019-03-28","185894.36","29","6410.15"
"2019-11-24","256572.21","29","8847.32"
"2018-05-13","218588.01","26","8407.23"
"2016-08-13","37176.00","23","1616.35"
"2019-03-14","147792.17","29","5096.28"
"2025-09-09","308405.68","40","7710.14"
"2023-05-09","160459.07","35","4584.54"
"2022-04-29","280759.30","34","8257.63"
"2024-03-11","305184.90","38","8031.18"
"2021-03-27","222395.36","31","7174.04"
"2017-04-04","110764.00","31","3573.03"
"2020-06-24","224589.12","30","7486.30"
"2024-03-28","241582.22","38","6357.43"
"2025-07-06","244176.78","41","5955.53"
"2021-01-07","249023.28","32","7781.98"
"2026-01-02","576008.08","79","7291.24"
"2022-07-09","277593.94","34","8164.53"
"2025-12-09","281991.89","34","8293.88"
"2020-02-09","276436.76","30","9214.56"
"2022-09-05","213406.98","34","6276.68"
"2017-04-24","74328.00","26","2858.77"
"2020-09-24","194181.05","30","6472.70"
"2021-07-14","277364.40","31","8947.24"
"2023-12-13","246210.99","35","7034.60"
"2022-05-29","230903.07","34","6791.27"
"2015-10-02","27510.00","21","1310.00"
"2022-12-07","228474.78","34","6719.85"
"2015-06-06","101188.00","26","3891.85"
"2023-03-12","251151.79","35","7175.77"
"2022-01-13","261867.05","34","7701.97"
"2021-09-07","239950.30","32","7498.45"
"2017-04-12","71452.00","20","3572.60"
"2023-03-01","249243.43","35","7121.24"
"2023-01-12","271045.71","36","7529.05"
"2019-01-24","210281.77","29","7251.10"
"2018-01-25","206816.21","26","7954.47"
"2018-08-29","198896.68","27","7366.54"
"2022-04-15","204771.45","34","6022.69"
"2022-07-06","268218.76","34","7888.79"
"2019-07-17","202729.68","29","6990.68"
"2023-06-02","210705.76","36","5852.94"
"2023-05-11","286966.19","35","8199.03"
"2015-01-21","90881.00","19","4783.21"
"2019-04-04","228848.62","29","7891.33"
"2020-12-03","213164.82","31","6876.28"
"2018-12-30","126078.46","27","4669.57"
"2022-03-01","284549.47","34","8369.10"
"2021-09-15","217482.09","32","6796.32"
"2019-06-09","273207.95","29","9420.96"
"2025-02-12","307405.37","41","7497.69"
"2022-02-13","239503.12","33","7257.67"
"2020-09-19","253139.63","30","8437.99"
"2015-10-17","106182.00","25","4247.28"
"2016-09-23","81659.00","17","4803.47"
"2017-04-25","126223.00","27","4674.93"
"2015-04-02","64156.00","25","2566.24"
"2024-05-08","254364.60","39","6522.17"
"2017-11-16","120008.00","34","3529.65"
"2019-05-09","211308.84","29","7286.51"
"2024-02-22","207356.26","39","5316.83"
"2020-08-09","220837.03","30","7361.23"
"2019-09-29","231178.74","29","7971.68"
"2016-04-03","120562.00","23","5241.83"
"2018-01-02","223068.78","27","8261.81"
"2020-07-05","253978.73","30","8465.96"
"2025-09-15","261730.72","41","6383.68"
"2019-07-30","234648.20","29","8091.32"
"2018-09-19","166129.76","27","6152.95"
"2020-04-25","242761.35","31","7831.01"
"2025-12-14","480580.72","52","9241.94"
"2024-04-24","262766.83","39","6737.61"
"2021-12-26","266341.19","32","8323.16"
"2021-08-28","303322.84","32","9478.84"
"2020-12-08","212529.93","30","7084.33"
"2023-08-15","215673.13","36","5990.92"
"2020-12-20","171299.41","30","5709.98"
"2023-07-06","224996.86","35","6428.48"
"2018-01-18","167394.19","26","6438.24"
"2021-04-02","295338.85","32","9229.34"
"2022-10-07","218427.68","34","6424.34"
"2020-07-09","169206.70","30","5640.22"
"2018-03-03","207840.13","26","7993.85"
"2025-03-25","243691.36","41","5943.69"
"2018-03-29","202642.94","26","7793.96"
"2023-11-30","201728.51","36","5603.57"
"2022-02-12","206268.03","34","6066.71"
"2025-11-27","390590.50","48","8137.30"
"2018-04-05","166310.21","26","6396.55"
"2019-09-21","312609.69","28","11164.63"
"2021-12-16","178566.43","31","5760.21"
"2024-03-02","331056.72","39","8488.63"
"2022-01-27","299839.53","34","8818.81"
"2021-02-02","207147.67","32","6473.36"
"2016-02-04","122314.00","31","3945.61"
"2021-10-17","227636.18","31","7343.10"
"2020-01-27","181471.33","30","6049.04"
"2018-10-06","168115.67","27","6226.51"
"2025-01-27","333998.13","41","8146.30"
"2025-03-30","245213.85","41","5980.83"
"2015-11-11","64544.00","21","3073.52"
"2018-03-16","227157.54","27","8413.24"
"2023-07-02","273601.29","36","7600.04"
"2023-04-28","315483.47","36","8763.43"
"2016-04-06","91946.00","30","3064.87"
"2019-04-17","177535.48","28","6340.55"
"2021-03-09","214610.48","31","6922.92"
"2015-04-16","53703.00","22","2441.05"
"2020-08-29","191227.27","30","6374.24"
"2022-04-08","232744.78","33","7052.87"
"2024-02-15","369843.74","39","9483.17"
"2015-08-01","84504.00","21","4024.00"
"2025-12-23","190693.81","33","5778.60"
"2022-04-01","245475.56","33","7438.65"
"2015-12-06","104691.00","17","6158.29"
"2020-07-10","243303.03","30","8110.10"
"2015-10-04","45457.00","25","1818.28"
"2021-09-06","162156.57","31","5230.86"
"2015-01-06","119485.00","25","4779.40"
"2016-03-07","83362.00","24","3473.42"
"2015-12-17","118678.00","35","3390.80"
"2025-05-05","310630.42","40","7765.76"
"2020-04-29","222788.72","31","7186.73"
"2016-08-12","66980.00","19","3525.26"
"2020-04-07","234286.41","30","7809.55"
"2022-03-02","208541.28","33","6319.43"
"2018-08-26","193129.69","26","7428.07"
"2019-03-05","158566.34","29","5467.80"
"2022-03-29","209601.79","34","6164.76"
"2025-10-25","288915.01","41","7046.71"
"2025-06-28","224824.20","41","5483.52"
"2023-01-20","271985.99","35","7771.03"
"2015-04-15","70270.00","30","2342.33"
"2025-10-18","392873.57","41","9582.28"
"2020-11-08","256541.57","30","8551.39"
"2023-05-05","223240.16","36","6201.12"
"2022-06-15","225928.61","33","6846.32"
"2016-03-04","59941.00","27","2220.04"
"2024-04-03","298944.93","39","7665.25"
"2025-07-23","302649.95","41","7381.71"
"2023-08-24","271413.93","36","7539.28"
"2020-03-22","266112.50","31","8584.27"
"2022-08-15","189247.98","33","5734.79"
"2024-06-13","292446.71","38","7695.97"
"2018-03-31","222930.54","27","8256.69"
"2019-12-06","205589.58","29","7089.30"
"2016-11-26","49352.00","19","2597.47"
"2021-06-19","296780.44","31","9573.56"
"2025-10-13","359037.82","40","8975.95"
"2017-06-14","78408.00","25","3136.32"
"2021-08-13","175913.74","32","5497.30"
"2015-06-24","78363.00","20","3918.15"
"2020-06-28","240899.35","30","8029.98"
"2024-01-30","272953.93","39","6998.82"
"2017-07-24","137174.00","32","4286.69"
"2022-12-15","230650.39","33","6989.41"
"2015-01-02","81672.00","28","2916.86"
"2024-10-06","299657.10","39","7683.52"
"2025-10-17","282655.16","41","6894.03"
"2017-03-24","77724.00","24","3238.50"
"2020-07-03","237041.25","30","7901.38"
"2018-11-11","172814.47","26","6646.71"
"2018-08-21","199730.28","27","7397.42"
"2024-08-14","314268.64","38","8270.23"
"2023-10-20","245166.65","35","7004.76"
"2025-01-12","341991.48","41","8341.26"
"2021-06-24","203981.90","32","6374.43"
"2021-10-06","146649.30","31","4730.62"
"2024-08-23","244181.08","38","6425.82"
"2015-06-20","219154.00","39","5619.33"
"2016-03-15","78008.00","20","3900.40"
"2015-11-01","73598.00","30","2453.27"
"2015-09-10","73096.00","30","2436.53"
"2021-09-03","222513.61","31","7177.86"
"2024-09-08","215419.12","39","5523.57"
"2018-03-10","184277.09","26","7087.58"
"2021-05-03","223597.94","32","6987.44"
"2017-05-03","75472.00","36","2096.44"
"2019-11-12","169547.62","28","6055.27"
"2015-10-07","66507.00","27","2463.22"
"2021-01-23","188102.13","32","5878.19"
"2016-06-09","145875.00","27","5402.78"
"2022-10-25","198627.46","33","6019.01"
"2017-11-26","83821.00","25","3352.84"
"2020-07-29","198754.22","31","6411.43"
"2025-08-20","278810.51","41","6800.26"
"2015-01-17","119418.00","24","4975.75"
"2018-08-31","230685.52","26","8872.52"
"2018-07-09","223896.58","27","8292.47"
"2019-08-07","218648.34","29","7539.60"
"2015-12-01","70948.00","23","3084.70"
"2021-03-07","307285.58","32","9602.67"
"2020-11-18","204091.07","30","6803.04"
"2020-09-27","234936.78","30","7831.23"
"2016-03-18","126633.00","26","4870.50"
"2019-03-30","209642.59","28","7487.24"
"2020-10-26","185020.33","30","6167.34"
"2015-04-24","99019.00","26","3808.42"
"2019-12-03","212492.03","28","7589.00"
"2024-11-01","263428.75","39","6754.58"
"2022-01-16","207104.17","33","6275.88"
"2017-05-15","88848.00","24","3702.00"
"2017-06-02","128985.00","27","4777.22"
"2024-10-27","294795.70","38","7757.78"
"2018-01-09","157546.44","26","6059.48"
"2015-07-25","87599.00","32","2737.47"
"2018-04-13","101962.06","26","3921.62"
"2015-07-19","104161.00","30","3472.03"
"2019-10-27","161210.02","29","5558.97"
"2022-04-27","226678.82","34","6667.02"
"2020-06-18","168312.47","30","5610.42"
"2021-07-10","194171.47","32","6067.86"
"2019-06-30","309427.70","29","10669.92"
"2020-04-08","176130.23","31","5681.62"
"2021-06-28","229317.46","32","7166.17"
"2018-08-14","185248.93","26","7124.96"
"2015-04-05","88877.00","24","3703.21"
"2018-11-14","174283.21","26","6703.20"
"2024-09-30","162298.29","38","4271.01"
"2020-08-21","161896.27","30","5396.54"
"2019-08-25","213671.62","28","7631.13"
"2015-10-24","124329.00","25","4973.16"
"2023-01-13","237091.77","35","6774.05"
"2023-04-14","285252.22","35","8150.06"
"2017-05-07","97968.00","31","3160.26"
"2024-06-22","301451.67","39","7729.53"
"2018-11-13","160876.46","26","6187.56"
"2022-09-09","281250.62","33","8522.75"
"2018-08-15","175106.26","27","6485.42"
"2018-01-11","213742.07","26","8220.85"
"2018-07-23","251902.33","26","9688.55"
"2024-12-05","301063.80","38","7922.73"
"2019-12-05","257970.57","29","8895.54"
"2024-04-27","342935.32","38","9024.61"
"2023-06-24","221175.43","36","6143.76"
"2022-01-31","261076.63","34","7678.72"
"2025-08-05","277935.42","41","6778.91"
"2022-10-31","271722.60","33","8234.02"
"2025-08-23","324043.40","41","7903.50"
"2023-07-24","260254.48","35","7435.84"
"2020-05-05","224579.20","30","7485.97"
"2017-08-13","102117.00","31","3294.10"
"2025-11-06","210890.44","33","6390.62"
"2024-05-07","229282.19","38","6033.74"
"2020-07-22","212743.52","30","7091.45"
"2022-04-06","241910.65","33","7330.63"
"2016-08-25","52518.00","23","2283.39"
"2021-08-06","280166.66","32","8755.21"
"2024-07-28","268316.55","38","7060.96"
"2018-06-04","194294.37","26","7472.86"
"2019-05-22","230645.19","29","7953.28"
"2025-10-26","249143.62","41","6076.67"
"2017-03-14","57851.00","30","1928.37"
"2015-04-08","53721.00","22","2441.86"
"2025-05-01","356179.31","41","8687.30"
"2020-06-19","144033.34","30","4801.11"
"2017-12-17","101649.00","29","3505.14"
"2022-09-23","225032.22","33","6819.16"
"2020-01-25","165500.97","30","5516.70"
"2017-10-01","105926.00","32","3310.19"
"2015-01-16","63498.00","25","2539.92"
"2021-09-16","267982.78","31","8644.61"
"2025-05-03","280805.03","40","7020.13"
"2022-06-04","241040.02","34","7089.41"
"2018-05-25","181757.97","26","6990.69"
"2015-06-19","69955.00","23","3041.52"
"2024-05-06","190819.16","39","4892.80"
"2025-01-10","256604.58","41","6258.65"
"2023-06-14","316741.86","36","8798.39"
"2018-04-08","198409.53","26","7631.14"
"2025-08-22","274129.26","41","6686.08"
"2023-07-20","267712.09","35","7648.92"
"2024-10-03","284789.49","39","7302.29"
"2019-06-22","258070.56","28","9216.81"
